qid,type,question,must_include,required_region,required_tags,optional_tags,forbidden_tags,expected_behavior
G033,시설,넓고 사진 찍기 좋은 카페,소색채본|하우스 오브 테디베어|해일리카페|오아시스80|새빌,,대형|사진|감성,인생샷|산뷰|오션뷰,,넓은 공간과 사진 의도가 같이 맞아야 함
G034,시설,루프탑 있는 대형 오션뷰 카페,델문도|훈데르트윈즈|델문도 김녕점|카페더라이트|쉼표,,루프탑|대형|오션뷰,바다|베이커리|테라스,,루프탑+대형+오션뷰 조합 평가
G035,메뉴,빵이 유명한 카페,아베베 베이커리|제주당|오드랑베이커리|가는곶세화|버터모닝,,베이커리,디저트|시그니처|핫플,,빵/베이커리 표현이 베이커리 태그와 연결되어야 함
G036,메뉴,디저트가 맛있는 카페,글로시말차|풍림다방|우무|카이막|텐더럽카페,,디저트|감성,시그니처|핫플,,디저트 일반 질문에서 대표 디저트 후보가 나와야 함
G037,메뉴,에그타르트 맛집 카페,파스테이스|베이커블|아줄레주|청춘부부,,디저트|베이커리|시그니처,감성,,특정 메뉴명 직접 매칭이 우선
G038,메뉴,도넛이 유명한 카페,랜디스 도넛|노티드|아베베 베이커리,,디저트|베이커리|핫플,시그니처,,도넛 표현이 브랜드/메뉴 후보와 연결되어야 함
G039,메뉴,핸드드립 잘하는 카페,무슈부부커피스탠드|구씨커피로스터스|믈커피 로스터스|카페 어림비|마노앤디또,,핸드드립|원두,로스터리|조용,,핸드드립/원두 의도가 상위 랭킹에 반영되어야 함
G040,메뉴,로스터리 커피 카페,구씨커피로스터스|믈커피 로스터스|부이크|하토우 커피 로스터스|커피템플,,로스터리|원두,핸드드립|조용|로컬,,로스터리/원두 태그 기반 평가
G041,메뉴,원두 사기 좋은 카페,프릳츠 제주성산점|커피템플|믈커피 로스터스|구씨커피로스터스|부이크,,원두|로스터리,핸드드립|시그니처,,원두 구매/커피 전문성 의도 평가
G042,메뉴,말차 디저트 카페,글로시말차|오설록티뮤지엄|카페공작소,,디저트|시그니처|감성,오션뷰|로컬,,말차/차 디저트 의도가 디저트·시그니처로 연결되어야 함
G043,메뉴,브런치 먹기 좋은 카페,노을리|애월더선셋|도도카페|포레스텔라 인 제주|제주다카포,,브런치|감성,오션뷰|테라스|가족,,브런치 태그가 상위 후보에 반영되어야 함
G044,메뉴,바다 보면서 브런치 먹는 카페,노을리|도도카페|애월더선셋|서귀피안베이커리|말로나,,오션뷰|브런치|바다,베이커리|테라스,,브런치와 오션뷰가 동시에 맞아야 함
G045,메뉴,크림빵이나 소금빵 먹기 좋은 베이커리 카페,아베베 베이커리|오드랑베이커리|가는곶세화|김녕빵집|버터모닝,,베이커리|디저트,시그니처|핫플,,크림빵/소금빵 표현이 베이커리 후보와 연결되어야 함
G046,메뉴,제주스러운 시그니처 메뉴 카페,우유부단|풍림다방|카페공작소|도렐 제주본점|우무,,시그니처|디저트|로컬,감성|핫플,,제주 특색 메뉴/시그니처 의도 평가
G047,복합,오션뷰와 디저트 둘 다 좋은 카페,글로시말차|카페 한라산|델문도|부젤라또|카페공작소,,오션뷰|디저트|바다,감성|해변,,오션뷰와 디저트가 모두 충족되어야 함
G048,복합,조용하고 커피가 좋은 로컬 카페,브라보커피웍스|구씨커피로스터스|부이크|믈커피 로스터스|나무밑,,조용|로컬|원두,로스터리|핸드드립|숨은,핫플|웨이팅|혼잡가능,조용+커피전문성+로컬 조합 평가
G049,복합,노을과 사진이 좋은 감성 카페,해지개|카페봄날|애월더선셋|비밀역 카페|선셋클리프,,노을|사진|감성,오션뷰|인생샷|테라스,,노을/사진/감성 조합이 상위에 와야 함
G050,복합,가족이랑 가기 좋은 대형 베이커리 카페,제주당|해지개|서귀피안베이커리|델문도|오아시스80,,가족|대형|베이커리,주차|디저트,노키즈존,가족/대형/베이커리 조합과 노키즈존 감점 평가
