카페명,지역,정보등급,블로그총량,스니펫수,카페명포함스니펫,블로거수,최신포스트,지역검색_상호,지역검색_업종,지역검색_주소,스니펫예시
제주 공감,세화,low,365047,100,35,77,20260708,제주공감,음식점>한식,제주특별자치도 서귀포시 성산읍 오조로 59-1 제주공감,제주 갈치조림 맛집 공감한 제주 연동 아침식사 제주 갈치조림 맛집 공감한 제주 연동 아침식사 제주 갈치조림 맛집 공감한 제주 연동 아침식사 제주공항에 도착해서 택시를 잡아 타고 바
어떤바람,서귀포시내,low,296934,100,86,96,20260707,어떤바람,"쇼핑,유통>서점",제주특별자치도 서귀포시 안덕면 산방로 374,"뚜벅이에겐 그렇다 ㅎ 어떤 바람 26.03.10 방문 운영 시간: 10:00-16:00 매주 일, 월 휴무 제주도 오면 독립서점은 꼭 들리는 편인데, 산방산 근처에도 있길래 책도 "
오른,제주시내,low,243671,100,100,99,20260630,오른,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 해맞이해안로 2714 orrrn,오늘도 글 읽어주셔서 감사해요 다음 포스팅에서 만나요❤️ #제주도 #제주도여행 #제주동쪽카페 #제주오른 #오른제주 #오른제주카페 #제주한라봉쥬스 #제주성산카페 #제주성산카페추천 #
말차카페,조천,low,236044,100,62,93,20260708,하토 말차,"음식점>카페,디저트",제주특별자치도 제주시 남성로 167 2층,제주 위호텔 로비 슬로우말차 카페 분위기 갑! 안녕하세요! 여행하는 워킹맘 문틈새 입니다. 저는 제주도가면 꼭 묵는 숙소가 있습니다. 제주 위호텔 인데요 한라산 중간에 있어서 다들
우도 카페,우도,low,219759,100,78,87,20260707,찰리공장 제주동문시장본점,"음식점>카페,디저트",제주특별자치도 제주시 중앙로13길 21 찰리공장 제주동문시장본점,제주 우도 카페 밭318 기본정보 체크체크! 위치랑 영업시간은 꼭 확인하셔야 해요! ✔ 주소: 제주 제주시... 제주 우도 안에서 시끄러운 대형 카페보다 고즈넉하고 편안한 분위기에
우도카페,우도,low,219759,100,78,87,20260707,찰리공장 제주동문시장본점,"음식점>카페,디저트",제주특별자치도 제주시 중앙로13길 21 찰리공장 제주동문시장본점,제주 우도 카페 밭318 기본정보 체크체크! 위치랑 영업시간은 꼭 확인하셔야 해요! ✔ 주소: 제주 제주시... 제주 우도 안에서 시끄러운 대형 카페보다 고즈넉하고 편안한 분위기에
아주 아주 오래된 소나무숲,남원,low,210618,100,0,89,20260708,,,,"오랜만에 펼친 호프힐 텐트이기에 옛날 생각하며 여러 각도로 기록을 남겨 본다. 소나무 숲으로 이루어진 제주도 대표 무료 캠핑장, 제주 협재 해수욕장 야영장. 그리 늦은 시간은 아니"
세화 카페 (인테리어 예쁜 세화 카페),세화,low,210424,100,59,96,20260707,,,,세화는 제주 동쪽에 위치해있어서 딱 적당해 보였다! 바로 지도찍고 달려갔다. 지도에 '가는곶 세화'를 검색하고 열심히 가다보면 여기에 카페가 있는게 맞나..?싶을정도로 마을로 들어
델문도 (카페델문도함덕),함덕,low,204014,100,100,95,20260708,델문도,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조함해안로 519-10,"제주도카페 제주 델문도 함덕 글, 사진 : 신양이 @ 여행 인플루언서 요즘 동남아여행 가면 이런 사진을... 음료 메뉴 커피: 아메리카노 7000원, 아이스 아메리카노 7500원,"
협재카페,협재,low,189601,100,90,97,20260708,베릴,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 협재1길 19-8 1층,"제주 협재 카페 잔물결 본점 주차 웨이팅 사진, 글, 영상: 낭만요니 안녕하세요 낭만요니입니다.... 카페 잔물결 협재 본점 위치 제주시 한림읍 금능길 58-1 금능해수욕장 도보 "
초록초록 제주스러운 카페,월정리,low,181338,100,0,99,20260704,,,,아침으로 몸국부터 뿌시고 제주시 카페 어디로 가볼까 하다가 생각나서 달린 곳 아늑하게 숲멍 때릴 수 있대서 초록초록 감성 좋아하는 저에게는 딱이겠다 싶었어요 제주 구좌 카페 이색커
시루애월카페,애월,low,168708,100,0,92,20260706,,,,"근처에는 새별오름, 새빌 프렌즈 동물원 같은 테마파크들도 있어서 제주 애월 여행코스로 묶어서 가기에도 딱 좋은 곳이에요 새빌카페 제주 제주시 애월읍 평화로 1529 매일 09:00"
동쪽 일몰 맛집 카페,성산,low,164827,100,0,89,20260708,우도랑,"음식점>카페,디저트","제주특별자치도 제주시 우도면 우도해안길 322 1, 2층",ㅎㅎ 제주 동쪽 성산 카페 소개해 드릴게요 오션뷰와 일몰 모두를 감상할 수 있는 보기 드문 숨은 뷰 맛집 같은 느낌인 곳이에요 오른 주소 제주 서귀포시 성산읍 해맞이 해안로 271
나와산,성산,low,155856,100,100,96,20260708,나와산,"카페,디저트>카페",제주특별자치도 제주시 조천읍 미래로 99,제주 둘째 날 아침 일찍 할머니 계신 병원에 들렀다가 밥 먹으러 슝 - @ 선흘곶 뜬담 예약할 때 보니 근처... 걸루 @ 나와산 카페 건물 자체가 어쩜 이렇게 예쁜지 외관만 보고
애월카페거리,애월,low,152211,100,100,79,20260708,애월카페거리,"여행,명소>거리,골목",제주특별자치도 제주시 애월읍 애월북서길 56-1,위치 및 기본 운영정보 한담해변 산책로와 가까워 카페 방문 전후로 산책하기 좋아요. 여행 동선에 넣기도 편해서 제주 애월 카페 거리 가볼만한곳을 찾는 분들에게 딱 맞는 코스랍니다.
애월 카페거리,애월,low,152210,100,100,79,20260708,애월카페거리,"여행,명소>거리,골목",제주특별자치도 제주시 애월읍 애월북서길 56-1,위치 및 기본 운영정보 한담해변 산책로와 가까워 카페 방문 전후로 산책하기 좋아요. 여행 동선에 넣기도 편해서 제주 애월 카페 거리 가볼만한곳을 찾는 분들에게 딱 맞는 코스랍니다.
픽업 카페,중문,low,150450,100,100,92,20260708,픽업카페,"카페,디저트>베이커리",제주특별자치도 제주시 남성로 167 픽업,"기다릴 가치가 충분했던 제주 픽업카페 후기에요. 픽업카페 주소 : 제주 제주시 남성로 167 픽업 제주 픽업카페는 공항에서 15분 거리로 11시 오픈, 18시 마감이었어요. 주차는"
픽업카페,서귀포시내,low,150450,100,100,92,20260708,픽업카페,"카페,디저트>베이커리",제주특별자치도 제주시 남성로 167 픽업,"기다릴 가치가 충분했던 제주 픽업카페 후기에요. 픽업카페 주소 : 제주 제주시 남성로 167 픽업 제주 픽업카페는 공항에서 15분 거리로 11시 오픈, 18시 마감이었어요. 주차는"
휴일로,중문,low,145954,100,90,98,20260708,휴일로,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 난드르로 49-65 휴일로카페,"서귀포카페 제주 휴일로 제주도 오션뷰 베이커리 카페 글·사진 ⓒ 다희아몬드 이곳은 서귀포시 안덕면... 휴일로는 제주공항에서 1시간 정도 소요되며 주변 가까운 여행지는 군산 오름,"
산방산 카페,기타,low,140174,100,91,95,20260705,부젤라또,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 형제해안로 32 부젤라또,"카페 매장 외관 분위기 제주 산방산 방향, 화순금모래해수욕장에서 차로 5분 거리에 있는 비밀역은... 펼쳐지며 제주 산방산 카페만의 특별한 모습을 눈앞에서 확인할 수 있었습니다. "
제주나기,애월,low,120440,100,97,100,20260706,제주나기 애월본점,음식점>일식>일식당,제주특별자치도 제주시 애월읍 구엄동1길 7 제주나기 제주애월본점,애월맛집으로 유명한 곳인데 공항 가는 길이 마침 애월 쪽 지나가서 마지막 날에 딱이었답니다~~ 근데 진짜 맛있었어요 ㅠ_ㅠ 또 가고싶다~~ 애월맛집 제주 장어집 제주나기 후기 고고
한림카페,한림,low,119366,100,96,92,20260708,리버브제주,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 한림해안로 648 3층,"오지힐그라운즈 Aussiehill Grounds 제주시 한림읍 한림상로 16, 1F 연락처 0507.1345.0541 영업시간 10:00-20:00... 좋은 카페이지 않나 싶어요"
땅콩 아이스크림,우도,low,116321,100,99,95,20260706,카페살레,"음식점>카페,디저트","제주특별자치도 제주시 우도면 우도해안길 816 1,2층",마침 저희가 간 날은 사람도 북적이지 않고 한산한 편이라 야외 자리에 앉아 조용히 제주의 푸른 바다를 눈에 담을 수 있어서 너무너무 좋았어요. ㅎㅎ 메뉴는 땅콩라떼 땅콩아이스크림
무드,애월,low,110233,100,100,96,20260707,무드,"카페,디저트>베이커리",제주특별자치도 제주시 제성1길 25 1층,#제주맛집 #제주빵맛집 #제주소금빵 #제주명란소금빵 #무드 #무드베이커리 #제주무드 #제주공항맛집 #제주공한근처맛집 #제주공항빵집 #제주빵지순례 #제주여행 #제주카페 #이호테우 #
무드제주,제주시내,low,110177,100,61,95,20260707,무드 제주,"가구,인테리어>인테리어소품",제주특별자치도 제주시 남성로 89 2층 무드,#제주맛집 #제주빵맛집 #제주소금빵 #제주명란소금빵 #무드 #무드베이커리 #제주무드 #제주공항맛집 #제주공한근처맛집 #제주공항빵집 #제주빵지순례 #제주여행 #제주카페 #이호테우 #
제주도 강아지동반 애견카페,제주시내,low,108611,100,0,62,20260707,카페몽몽,애견카페,제주특별자치도 제주시 월광로 145-8 1층 카페몽몽,"구매해왔답니다 제주 한화리조트내 무인카페, 24시간 편의점을 비롯해서 회센터 등도 있으니... 보냈답니다 제주도 애견동반 숙소 한화리조트 제주 강아지랑 여행하다보면 늘 제일 고민되"
성산일출봉 근처 프렌치토스트카페,성산,low,107670,100,0,89,20260708,,,,제주 성산일출봉 근처 카페 보롬창고 이런 분들께 추천해요 ✔ 우도 갈 예정이라면!(우도 선착장 근처) ✔ 프렌치토스트 좋아한다면 ✔ 저녁 늦게까지 하는 카페&바 찾는다면 1. 기본
수국카페,남원,low,103701,100,60,87,20260707,이끼숲소길,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 장소로 621,및 카페 메뉴 제주 수국 명소 미레이나 내부 소개를 드릴께요 입구에서 부터 수국이 눈에 보였는데요 사실 이것만 보고 오 !!!! 꽤 폈네 하면서 신나게 들어갔어요 ㅎㅎㅎ 근데 안쪽
김녕해수욕장,김녕,low,102806,100,100,90,20260708,김녕해수욕장,"여행,명소>해수욕장,해변",제주특별자치도 제주시 구좌읍 김녕리,제주 김녕해수욕장 맛집 고대해온 제주도 세화 그때그집 제주 김녕해수욕장 맛집 고대해온 제주도... 게다가 한돈 인증 매장이라서 제대로 된 흑돼지를 맛볼 수 있다는 점이 제주도 김녕
구좌카페,구좌,low,93818,100,97,92,20260708,런던베이글뮤지엄 제주,"카페,디저트>베이커리",제주특별자치도 제주시 구좌읍 동복로 85 제2동 1층,제주 구좌읍 종달리 디저트 맛집 제주 보롬창고 영업 정보 주소: 제주 제주시 구좌읍 종달항길 3 전화... ㅎ 저희는 종달항 주차장에 주차를 하고 카페까지 걸어서 갔습니다 종달항
미안커피,남원,low,93048,100,30,97,20260707,,,,컴포즈커피가 전국 여러 지점이 있고 점바점이란 걸 알기에 일단 여기는 칭찬 오만팔천개해주고 싶다 컴포즈커피 서귀포여고점 서귀포 컴포즈커피 주소 제주특별자치도 서귀포시 태평로 95
오르,제주시내,low,92777,100,11,74,20260707,카페 오르,"음식점>카페,디저트",제주특별자치도 제주시 동광로23길 15,#금오름 #제주금오름 #금악오름 #제주오름 #제주오름추천 #제주도금오름 제주 오름 추천 제주도 금오름은 포장이 잘 되어 있어 편하게 오를 수 있는 오름이다. 그렇지만 오르막을 따라
커피게임,김녕,low,91427,100,11,98,20260706,,,,제주신상카페 #제주동쪽오션뷰카페 #구좌오션뷰카페 #김녕오션뷰카페 #제주대형카페 #제주카페투어 #제주카페추천 #제주커피게임 #커피게임 #김녕커피게임 #김녕카페추천 #김녕동쪽카페 #내
장인더,제주시내,low,88656,100,95,97,20260708,장인더 제주점,"음식점>카페,디저트",제주특별자치도 제주시 탑동로 136 장인더 제주,장인 더 제주점 제주시 탑동로 136 영업시간 _ 매일 10:00 - 18:00 라스트 오더 _ 17:00 0507 1485 2122 진짜 오늘부터 다시 블로그 자주 와야지!! 작
함덕바다가 보이는 브런치카페,함덕,low,87384,100,0,95,20260708,,,,통창으로 보이는 해변 사진까지 하나 담아봤고요. 올 3월에 오픈한 함덕 카페 멜츠인빌리지에서 맛난 브런치를 즐겼습니다. 제주 함덕해수욕장 바로 앞에 있어 오션뷰를 바라보며 제주도
김녕카페,김녕,low,82998,100,84,93,20260706,김녕카페,"음식점>카페,디저트","제주특별자치도 제주시 구좌읍 김녕로21길 25 제2동 1, 2층(큰 건물)",제주도 카페 추천 김녕해수욕장 오션뷰 제주 동쪽 베이커리카페 델문도 김녕점 내돈내산 후기 글/사진... 피터팬의 까칠한 제주 김녕 카페 델문도 이용정보 제주 델문도 김녕점을 방문하
서쪽가게,애월,low,80699,100,41,95,20260706,서쪽가게,"가구,인테리어>인테리어소품",제주특별자치도 제주시 한림읍 한림로 372-7 목조주택,"제주서쪽 ✅ 금능 (후르츨리금능, 런던다락) ✅ 협재1 (코앞에바다, 서쪽가게) ✅ 협재2 (시키 협재점) ✅ 협재3 (수풀) ✅ 애월 (메르씨모나미, 탱글) 괄호 안의 가게들은 "
김녕해변,김녕,low,78448,100,40,87,20260706,김녕해수욕장,"여행,명소>해수욕장,해변",제주특별자치도 제주시 구좌읍 김녕리,"며칠 전 제주 여행 중에 제주 김녕해변 맛집을 찾다가 월정리 달이뜨는식탁 후기가 눈에 들어와서... 돈까스,제주구좌마늘알리오올리오 김녕해수욕장에서 차로 삼분 정도라 움직이기에도 부"
오설록티뮤지엄,제주시내,low,67549,100,98,89,20260707,오설록 티 뮤지엄,"여행,명소>박물관",제주특별자치도 서귀포시 안덕면 신화역사로 15 오설록,"제주 오설록 위치 및 주차 제주 오설록 티 뮤지엄은 서귀포 안덕면에 위치해 있어 산방산,신화월드와 함께 여행 코스로 많이 방문하는 곳입니다. 주차장은 상당히 넓은 편이라 차량을 세"
귤하르방,구좌,low,64879,100,100,100,20260621,귤하르방,제조업>식료품제조,제주특별자치도 제주시 월산남길 201,#제주귤하르방 #제주귤하르방스냅 #귤하르방스냅 #아기제주스냅촬영 #아기랑제주 #아기스냅촬영 #아기컨셉촬영 #14개월아기랑제주 #니우스튜디오 #제주니우 #귤하르방 #제주스냅 #제주아
고사리커피,제주시내,low,64385,100,93,99,20260707,고사리커피,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 중산간동로 2064,느꼈던 제주 고사리커피 생생 후기로 함께 고고 가보실까요!? 호다닥 보실 분은 아래 영상으로 휘리릭 보세요 제주 구좌 고사리커피 위치  주소 : 제주시 구좌읍 중산간동로 2064(
금능카페,한림,low,63870,100,88,95,20260707,잔물결 협재 본점,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 금능길 58-1 1층,12시전까지만 해도 자리가 많은 편인 제주 금능 수영장 카페는 정오를 지나고 부터는 특히 손님들이 많이 들어오시더라구요. 아이들은 처음부터 수영복차림으로 입가에 미소를 걸고 오더라
빙수 맛집 카페,세화,low,62473,100,19,92,20260708,먹쿠슬낭카페,"음식점>카페,디저트",제주특별자치도 제주시 오라로 24 먹쿠슬낭카페,제주시빙수맛집 #제주공항근처북카페 #제주공항빙수맛집 #제부터미널카페 #제주공항근처디저트 #카페휴일 #제주만화카페 #제주북카페 #제주도빙수맛집 #제주공항근처카페 #제주빙수맛집
표선 카페,표선,low,62400,100,91,92,20260708,목장카페 밭디,"음식점>카페,디저트",제주특별자치도 서귀포시 표선면 번영로 2486,#젠타일즈 #표선카페 #제주표선카페 #표선카페추천 #제주카페 #제주동쪽카페 #서귀포카페 #제주대형카페 #표선해수욕장카페 #제주오션뷰카페 #제주감성카페 #제주신상카페 #제주도민카페
에그타르트 맛집,제주시내,low,56998,100,95,94,20260707,비주비주 한림점,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 한림해안로 9 1층,"나를 제주 맛집으로 안내를 해줬더랬다 평소 에그타르트를 좋아하는데 너무 맛있어보여서 꼭 가겠다고... 이제 에그타르트의 기준은 여기다!"" 라는 말이 나올 정도였어요~~ 제주 에그타"
민트카페,성산,low,55835,100,85,97,20260703,민트카페,"카페,디저트>카페",제주특별자치도 제주시 중앙로2길 17,제주여행  2024.09.06 - 09.09 성산유람선 탑승 후 갔던 카페 민트카페 10:00 - 18:00 17:00 라스트오더 휘닉스... 챙겨가야지  #제주섭지코지 #제주성산
조천 카페,조천,low,53798,100,94,83,20260707,젤라떼리아섬,"카페,디저트>아이스크림",제주특별자치도 제주시 조천읍 비자림로 422-2 102호 젤라떼리아섬,특히 제주 조천 카페 찾고 계신 분들이라면 무조건 저장해두셔야 할 곳이에요. 단순히 커피만 마시는 공간이 아니라 하루를 통째로 보내도 아깝지 않은 곳이었어요. 카페 입구부터 분위기
제주시 베이커리 맛집,제주시내,low,53197,100,9,95,20260707,아베베 베이커리 제주,"카페,디저트>베이커리",제주특별자치도 제주시 동문로6길 4 1-3층(일도일동),맛을 모두 경험할 수 있어 좋았던 제주도 빵지순례 카페였어요️ #제주공항근처카페 #제주시카페 #제주시베이커리맛집 #제주도빵지순례 #제주도뷰맛집 #제주도벚꽃카페 #제주벚꽃카페 #제주
신상 디저트카페 8곳 (제주),제주시내,low,52767,100,0,83,20260706,,,,제주 신상 핫플 카페 디저트 맛집 또제 또제 제주 신상 핫플 감성카페 디저트 맛집 안녕하세요! 여행블로거 글수저예요. 정말 오랜만에 지인들과 함께 설레는 마음을 가득 안고 제주 여
서랍,김녕,low,52594,100,100,82,20260630,김녕서랍,"가구,인테리어>인테리어소품",제주특별자치도 제주시 구좌읍 김녕로 93 1층 서랍,감정카드 보러 가기 제주 서랍 상호: 서랍 위치: 제주시 구좌읍 김녕로 93 ⏰영업 시간: 12시~저녁 6시 (수요일 휴무) 주차: 매장 옆 골목 가격대: 아래 이미지 참고 ♀️다
스타벅스 제주성산DT점,성산,low,51811,100,89,94,20260707,스타벅스 제주성산DT점,"카페,디저트>카페",제주특별자치도 서귀포시 성산읍 일출로 80,제주도 (성산) #제주도3박4일 #뚜벅이여행 글/사진 이요베베 숙소 체크아웃 하고 나와서 아침마다 만나던 졸띠승마장 말이랑 마지막 인사나눔 안녀엉~~ 건강하게 잘 있으렴 스타벅스
새별오름카페,기타,low,50727,100,59,95,20260611,제주당,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 월각로 927,커피 맛도 산미가 적당해 호불호 없을 맛이고 직접 굽는 빵 냄새가 카페 가득 퍼져서 머무는 내내... 사람마다 어디 거냐고 물어보네요. 노형동 쪽 들를 일 있으면 무조건 들러야 할
아베베,제주시내,low,48545,100,100,95,20260708,아베베 베이커리 제주,"카페,디저트>베이커리",제주특별자치도 제주시 동문로6길 4 1-3층(일도일동),동문시장 근처 아베베 베이커리 주소 : 제주 제주시 동문로6길 4 동문시장 12번 게이트 옆 제주 아베베 베이커리 가게 앞에는 이미 사람들이 줄을 서 있었어요. 평일 낮이었는데도
노티드,제주시내,low,47899,100,100,96,20260706,노티드 제주DT,"음식점>카페,디저트>카페",제주특별자치도 제주시 연오로 5 1층,애월 카페거리의 노티드 도덧~ (지금은 사라졌더라구요 .. 당시 줄이 어마어마 할 정도로 핫플이었는데... 6월제주여행 #제주바다 #애월카페거리 #애월바다 #제주키즈팬션 #재주여행
작은방,조천,low,47857,100,100,94,20260626,작은방게스트하우스,숙박>게스트하우스,제주특별자치도 서귀포시 안덕면 난드르로36번길 4,작은방 제주 노형e편한세상 아파트 39평 인테리어 작은방 다른 한 방은 슬라이딩 도어 시스템장을 넣어 수납 공간을 확보했습니다. 여닫이 도어 대신 슬라이딩 도어를 선택한 이유는 작
카페 바람,월정리,low,45878,100,8,85,20260707,바람,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 월정1길 46-9,떠밀릴듯 바람이 불었거든요. 제주도동쪽카페 더라이트 모던한 스타일의 인테리어로 좀 더 포근하게 다가왔는지도 모르겠네요. 제주카페 더라이트 통창을 넘어로 성산일출봉과 제주바다를 그대
월정리 오션뷰 브런치 카페,월정리,low,43349,100,3,98,20260707,월정리에서브런치 2호점,음식점>브런치,제주특별자치도 제주시 구좌읍 월정3길 53-2 2층,새로운 공간을 찾아 떠나는 남자 ‘공찾남’입니다 ✈ 오늘 소개해 볼 곳은 제주 월정리 카페! '월정리에서 브런치 2호점'인데요! 맛있는 브런치를 먹으며 월정리 해변의 오션뷰를 즐길
델문도,제주시내,low,43177,100,100,91,20260708,델문도,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조함해안로 519-10,주차장 제주 델문도 계절식탁 먹방 코스 함덕은 이상하게 하루를 보내도 시간이 금방 가는 동네인 것... 델문도 제주 제주시 조천읍 조함해안로 519-10 숙성도 함덕점 방문 전후로
바이못,협재,low,43107,100,96,99,20260630,by MOT,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 한창로 1174-8 1층 바이못,강아지와 함께 하는 제주여행 마지막 에피소드! 참 부지런하면 좋으련만 ㅜㅜ 이렇게 띄엄띄엄 ... 바이못 잔디가 생각보다 넒어서 룰루랑 실컷 뛸 수 있어서 좋았다 아구 더워 ㅋㅋ
인카페 온더비치 (incafe on the beach),성산,low,42773,100,58,98,20260703,인카페온더비치,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 해맞이해안로 943,"월정리를 거쳐 다시 성산쪽으로 돌아가는 길에 카페인 충전을 할 겸 카페에 들리기로 했다. 지나가다가 그냥 눈에 보이는 곳에 골라서 들어간 곳은 바로, 인 카페 온더비치 In Caf"
아우아우,조천,low,42057,100,94,56,20260704,아우아우,애견카페,제주특별자치도 제주시 조천읍 와산3길 13-105 아우아우,"-내돈내산, 솔직후기- 제주 동쪽 애견 동반 여행 아우아우 #제주애견카페 #동쪽애견카페 안녕하세요 :) 제주 애견 동반 여행 시 집사들만 즐길 수 없잖아요?! 강아지도 즐길 수 있"
런던베이글,구좌,low,40885,100,100,90,20260707,런던베이글뮤지엄 제주,"카페,디저트>베이커리",제주특별자치도 제주시 구좌읍 동복로 85 제2동 1층,다만 주차비는 따로 부과되어 참고하면 좋을 것 같아요.(10분 기준 5천원) ✔️무료 주차장 안내 주소 : 제주시 구좌읍 동복리 1352 (런던베이글 도보 5분 소요) 제주 런던베
런던 베이글,구좌,low,40885,100,100,90,20260707,런던베이글뮤지엄 제주,"카페,디저트>베이커리",제주특별자치도 제주시 구좌읍 동복로 85 제2동 1층,다만 주차비는 따로 부과되어 참고하면 좋을 것 같아요.(10분 기준 5천원) ✔️무료 주차장 안내 주소 : 제주시 구좌읍 동복리 1352 (런던베이글 도보 5분 소요) 제주 런던베
런던베이글제주,곽지,low,40708,100,33,92,20260707,런던베이글뮤지엄 제주,"카페,디저트>베이커리",제주특별자치도 제주시 구좌읍 동복로 85 제2동 1층,런던베이글 주차장은 구좌읍 동복리 1352 네비에 안나온다면 베르니모텔 찍어도 되요. #블루엘리펀트 #블루엘리펀트제주주차 #수퍼플라워제주 #런던베이글제주주차 #촌촌해녀촌 #구좌카페
카페델문도 김녕점,김녕,low,38509,100,65,96,20260708,델문도 김녕점,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 해맞이해안로 140,제주 카페 제주 동쪽 카페 델문도 김녕점 주차장O 제주 여행 첫날부터 날씨가.. 이런날은 그냥 맛있는거 먹고 뷰좋카 가는게 국룰이죠 제주 동쪽 카페 중 오션뷰카페로 유명한 델문도
카페델문도,함덕,low,38276,100,85,95,20260708,델문도,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조함해안로 519-10,제주 카페 제주 동쪽 카페 델문도 김녕점 주차장O 제주 여행 첫날부터 날씨가.. 이런날은 그냥 맛있는거 먹고 뷰좋카 가는게 국룰이죠 제주 동쪽 카페 중 오션뷰카페로 유명한 델문도
델문도카페,함덕,low,38272,100,57,93,20260708,델문도,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조함해안로 519-10,아기랑비행기준비물 #에어부산도어투도어 #에어부산유모차 #에어부산유모차비닐 #가람주차장 #제주도정주항 #제주카페델문도 #제주델문도카페주차 #델문도메뉴 #제주아기랑카페 #제주오션뷰카페
아베베베이커리,김녕,low,37671,100,100,96,20260708,아베베 베이커리 제주,"카페,디저트>베이커리",제주특별자치도 제주시 동문로6길 4 1-3층(일도일동),동문시장 근처 아베베 베이커리 주소 : 제주 제주시 동문로6길 4 동문시장 12번 게이트 옆 제주 아베베 베이커리 가게 앞에는 이미 사람들이 줄을 서 있었어요. 평일 낮이었는데도
